jeden ; адзін
dwa ; два
trzy ; тры
cztery ; чатыры
pięć ; пяць
sześć ; шэсць
siedem ; сем
osiem ; восем
dziewięć ; дзевяць
dziesięć ; дзесяць
jedenaście ; адзінаццаць
dwanaście ; дванаццаць
trzynaście ; трынаццаць
czternaście ; чатырнаццаць
piętnaście ; пятнаццаць
szesnaście ; шаснаццаць
siedemnaście ; семнаццаць
osiemnaście ; васямнаццаць
dziewiętnaście ; дзевятнаццаць
dwadzieścia ; дваццаць
trzydzieści ; трыццаць
czterdzieści ; сорак
pięćdziesiąt ; пяцьдзясят
sześćdziesiąt ; шэсцьдзесят
siedemdziesiąt ; семдзесят
osiemdziesiąt ; восемдзесят
dziewięćdziesiąt ; дзевяноста
sto ; сто
dwieście ; дзвесце
trzysta ; трыста
czterysta ; чатырыста
pięćset ; пяцьсот
sześćset ; шэсцьсот
siedemset ; семсот
osiemset ; васьмсот
dziewięćset ; дзевяцьсот
oba ; абодва
obydwa ; абодва
dwoje ; двое
oboje ; абаіх
troje ; траіца
czworo ; чацвёра
pół ; паў
półtora ; паўтара
kilka ; некалькі
kilkanaście ; некалькі (дзесяткаў)
kilkadziesiąt ; некалькі дзясяткаў
kilkaset ; некалькі сотняў
parę ; пару
ile ; колькі
ileż ; колькі ж
tyle ; столькі
wiele ; шмат
niewiele ; няшмат
