bać się ; бояться  
biegać ; бегать  
boleć ; болеть  
brać ; брать  
być ; быть  
całować ; целовать  
chcieć ; хотеть  
chodzić ; ходить  
chronić ; защищать, охранять  
cieszyć się ; радоваться  
ćwiczyć ; тренироваться  
czekać ; ждать  
czuć ; чувствовать  
czytać ; читать  
dać ; дать  
dokonać ; доработать  
dostać ; получить  
dotrzeć ; добраться  
dowiedzieć się ; узнать  
drażnić ; раздражать  
działać ; действовать  
dziękować ; благодарить  
dzwonić ; звонить  
farbować ; красить  
gotować ; готовить  
grać ; играть  
interesować się ; интересоваться  
irytować ; раздражать  
jechać ; ехать  
jeść ; есть  
jeździć ; ездить  
kierować ; управлять  
kochać ; любить  
kończyć ; закончить  
korzystać ; пользоваться  
kosztować ; стоить  
kroić ; резать  
kupić ; купить  
kupować ; покупать  
łapać ; ловить  
leżeć ; лежать  
liczyć ; считать, рассчитывать  
lubić ; любить  
malować ; рисовать  
martwić się ; волноваться  
marzyć ; мечтать  
mieć ; иметь  
mieszkać ; жить  
móc ; мочь  
mówić ; говорить  
musieć ; быть вынужденным  
myśleć ; думать  
napisać ; написать  
nauczyć ; научить  
nazywać się ; называться  
nieść ; нести  
nosić ; носить  
nudzić się ; скучать  
oddać ; отдать  
oddzwonić ; перезвонить  
odebrać ; забрать  
odejść ; отойти  
odnaleźć ; найти  
odpoczywać ; отдыхать  
odpowiedzieć ; ответить  
okazać ; предоставить  
opowiedzieć ; рассказать  
organizować ; организовать  
otworzyć ; открыть  
ożenić się ; жениться  
palić ; курить  
pamiętać ; помнить  
patrzeć ; смотреть  
pić ; пить  
pisać ; писать  
płacić ; платить  
planować ; планировать  
pływać ; плавать  
pobrać się ; жениться  
podnieść ; преподнести  
podobać się ; нравиться  
podróżować ; путешествовать  
pójść ; пойти  
pokazać ; показать  
polecać ; рекомендовать  
położyć ; положить  
pomóc ; помочь  
pomyśleć ; подумать  
poprosić ; попросить  
potrzebować ; потребовать  
powiedzieć ; сказать  
powstrzymać ; придержать  
powtarzać ; повторять  
powtórzyć ; повторить  
poznać ; познать, узнать  
pozostać ; остаться  
pozwolić ; позволить  
pracować ; работать  
proponować ; предлагать  
prosić ; просить  
przeczytać ; прочитать  
przedstawić się ; представиться  
przejść ; прийти  
przekonać ; убедить  
przepraszać ; извиняться  
przyjąć ; принять  
przyjmować ; принимать  
przyjść ; прийти  
przymierzyć ; примерить  
przypomnieć ; вспомнить  
pytać ; спрашивать  
rezerwować ; резервировать  
robić ; делать  
rozbić ; разбить  
rozmawiać ; разговаривать  
rozumieć ; понимать  
rzucić ; бросить  
segregować ; сортировать  
siedzieć ; сидеть  
skończyć ; закончить  
słuchać ; слушать  
słychać ; слышать, слышно  
słyszeć ; слышать  
spać ; спать  
śpiewać ; петь  
spodziewać się ; ожидать, надеяться  
spojrzeć ; посмотреть  
spotkać ; встретить  
spotykać się ; встретиться  
spóźnić się ; опоздать  
sprawdzić ; проверить  
spróbować ; попробовать  
sprzątać ; убирать  
sprzedawać ; продавать  
stać ; стать  
stosować ; применять  
studiować ; учиться  
szukać ; искать  
tańczyć ; танцевать  
telefonować ; звонить  
tłumaczyć ; переводить  
tyć ; толстеть  
uciekać ; убегать  
uczyć się ; учиться  
uczynić ; сделать  
uderzyć się ; удариться  
ukraść ; украсть  
ukryć ; скрыть  
umawiać się ; договариваться  
umrzeć ; умереть  
upaść ; упасть  
urodzić się ; родиться  
usłyszeć ; услышать  
uśmiechać się ; улыбаться  
uwierzyć ; поверить  
używać ; принимать  
walczyć ; драться  
wejść ; войти  
widać ; видно, можно увидеть  
widzieć ; видеть  
wiedzieć ; знать  
wierzyć ; верить  
wisieć ; висеть  
woleć ; хотеть, желать  
wracać ; возвращаться  
wrócić ; вернуться  
wyglądać ; выглядеть  
wyjść ; выйти  
wynająć ; снять  
wyobrazić ; представить  
wysłać ; послать  
wziąć ; взять  
zachować ; сохранить, задержать  
zacząć ; начать  
zależeć ; зависеть  
zapomnieć ; забыть  
zapraszać ; приглашать  
zapytać ; спросить  
zarabiać ; зарабатывать  
zarejestrować ; зарегистрировать  
żartować ; шутить  
zaspać ; проспать  
zastanawiać się ; размышлять  
zatrzymać ; задержать  
zbudować ; построить  
zdążyć ; успеть  
zdecydować ; решить  
zdobyć ; получить  
zepsuć się ; испортиться  
zgubić ; потерять  
złamać ; сломать  
zmienić ; изменить  
znać ; знать  
znaleźć ; найти  
zobaczyć ; увидеть  
zostać ; остаться  
zostawić ; оставить  
zrobić ; сделать  
zrozumieć ; понять  
życzyć ; желать  
