co ; що  
cokolwiek ; що завгодно  
coś ; щось  
cóż ; що ж  
ja ; я  
jedno ; одне  
kto ; хто  
ktokolwiek ; хто завгодно  
ktoś ; хтось  
któż ; хто ж  
nic ; нічого  
nikt ; ніхто  
my ; ми  
on ; він  
samo ; саме  
siebie ; себе  
się ; себе  
tamto ; те саме  
to ; це  
ty ; ти  
wszystko ; все  
wy ; ви  

bez ; без  
blisko ; близько  
celem ; з метою  
dla ; для  
do ; до  
dokoła ; навколо  
dookoła ; навколо  
drogą ; через  
dzięki ; завдяки  
jako ; як  
koło ; біля  
ku ; до  
między ; між  
mimo ; незважаючи на  
na ; на  
nad ; над  
naprzeciw ; навпроти  
naprzeciwko ; навпроти  
niby ; начебто  
niczym ; нічим  
niedaleko ; недалеко  
o ; про  
obok ; поруч  
od ; від  
odnośnie ; щодо  
około ; близько  
oprócz ; крім  
po ; після  
pod ; під  
podczas ; під час  
pomiędzy ; між  
pomimo ; незважаючи на  
ponad ; понад  
poniżej ; нижче  
poprzez ; через  
pośrodku ; посередині  
pośród ; серед  
powyżej ; вище  
poza ; поза  
prócz ; крім  
przeciw ; проти  
przeciwko ; проти  
przed ; перед  
przez ; через  
przy ; при, біля  
spod ; з-під  
spośród ; серед  
spoza ; ззовні  
sprzed ; з-під  
temu ; тому  
u ; у  
w ; в  
wbrew ; всупереч  
wedle ; згідно  
według ; згідно  
wewnątrz ; всередині  
wobec ; щодо  
wokół ; навколо  
wskutek ; внаслідок  
wśród ; серед  
wzdłuż ; вздовж  
względem ; щодо  
z ; з  
za ; за  
zamiast ; замість  
znad ; над  
zza ; з-за  

a ; а  
aby ; щоб  
aczkolwiek ; хоча  
albo ; або  
albowiem ; бо  
ale ; але  
ależ ; проте ж  
ani ; ні  
aniżeli ; ніж  
aż ; аж  
ażeby ; щоб  
bądź ; або  
bo ; бо  
bowiem ; адже  
by ; щоб  
byle ; лиш би  
chociaż ; хоча  
chociażby ; хоча б  
choć ; хоч  
choćby ; хоч би  
dopóki ; поки  
gdy ; коли  
gdyby ; якби  
gdyż ; бо  
i ; і  
ile ; скільки  
im ; чим  
iż ; що  
jak ; як  
jakkolwiek ; хоч би як  
jako ; як  
jako że ; оскільки  
jednakże ; проте  
jeśli ; якщо  
jeśliby ; якби  
lecz ; але  
lub ; або  
mimo iż ; незважаючи на те, що  
natomiast ; натомість  
ni ; ні  
nie tyle ; не стільки  
nim ; перш ніж  
niż ; ніж  
o ile ; якщо  
o tyle ; настільки  
oraz ; а також  
podczas gdy ; у той час як  
ponieważ ; тому що  
póki ; поки  
przeto ; отже  
skoro ; оскільки  
tedy ; тоді  
toteż ; тому  
tyle że ; тільки що  
tym ; тим  
więc ; отже  
zanim ; перед тим як  
zarówno ; як … так і  
zaś ; же  
zatem ; отже  
że ; що  
żeby ; щоб  

akurat ; якраз  
ano ; ну так  
bądź co bądź ; так чи інакше  
bodaj ; бодай  
bynajmniej ; зовсім ні  
chyba ; мабуть  
co najmniej ; принаймні  
co najwyżej ; не більше ніж  
co prawda ; хоча  
czego ; чого  
czemu ; чому  
czy ; чи  
czyli ; тобто  
czyż ; хіба  
czyżby ; чи не  
dlaczego ; чому  
dlatego ; тому  
dopiero ; лише  
doprawdy ; справді  
ino ; лише  
jak gdyby ; наче  
jakby ; ніби  
jakoby ; начебто  
jakoś ; якось  
jakże ; як же  
jednak ; проте  
jedynie ; лише  
jeno ; лише  
jeszcze ; ще  
lada ; будь-який  
ledwie ; ледь  
ledwo ; ледь  
mianowicie ; а саме  
między innymi ; серед іншого  
mniejsza ; неважливо  
może ; може  
możliwie ; можливо  
nader ; надзвичайно  
nadto ; до того ж  
naprawdę ; справді  
nareszcie ; нарешті  
następnie ; далі  
naturalnie ; природно  
nawet ; навіть  
nie ; не  
niech ; нехай  
niechaj ; нехай  
niechże ; нехай же  
niejako ; ніби  
niemal ; майже  
niemniej ; проте  
nieomal ; майже  
niestety ; на жаль  
niewątpliwie ; безсумнівно  
no ; ну  
oczywiście ; звичайно  
omal ; ледь не  
oto ; ось  
otóż ; отже  
